Pool,Rank,Player,Primary Archetype,Data Coverage,Badges,BigServer score,BigServerBaseliner score,AttackingBaseliner score,SolidBaseliner score,CounterPuncher score,SolidDefender score,AllCourt score,Pressure,MCP Charted,Chall Matches,Win %,Clay WR%,Hard WR%,Grass WR%
Tour,20,T. Paul,Solid Baseliner / Counter Puncher,full,,20,33,78,81,80,67,36,58,77,,59.6,54,60,64
Tour,21,F. Cerundolo,Attacking Baseliner,full,high_risk_high_reward,10,21,54,56,92,78,23,62,42,,54.9,60,50,41
Tour,21,A. Fils,Attacking Baseliner,full,,34,71,69,69,49,41,41,70,70,,59,60,59,55
Tour,22,F. Cobolli,Attacking Baseliner,full,,20,25,49,51,58,61,28,66,24,,53.5,60,49,56
Tour,25,T. Griekspoor,Big Server + Baseliner,full,grass_specialist,81,33,56,60,3,21,16,56,116,,50.2,50,48,63
Tour,25,L. Darderi,Clay Specialist / Attacking Baseliner,full,,25,27,52,53,59,57,32,69,12,,50,69,23,36
Tour,26,L. Tien,Counter Puncher,full,pressure_player,14,12,46,32,72,57,17,82,23,,58.1,14,63,57
Tour,27,A. Rinderknech,Big Server,full,,89,36,51,65,4,17,15,47,22,,47.4,46,48,45
Tour,28,C. Norrie,Solid Defender,full,,20,30,55,71,80,73,32,66,48,,57.1,62,56,54
Tour,29,J. Fonseca,Attacking Baseliner,full,,26,25,83,86,54,48,29,50,53,,61.9,57,70,43
Tour,30,F. Tiafoe,Attacking Baseliner,full,,66,33,63,72,20,46,31,56,66,,52.4,49,53,55
Tour,31,V. Vacherot,Solid Baseliner / Attacking Baseliner,full,,31,21,63,67,28,51,26,55,10,,60.6,38,75,
Tour,33,B. Nakashima,Solid Baseliner / Big Server,full,,84,39,74,92,17,39,30,56,40,,54.7,47,56,57
Tour,35,C. Moutet,Solid Defender,full,,7,14,41,37,81,77,15,52,22,,46,44,46,52
Tour,35,A. Tabilo,Attacking Baseliner,full,grass_specialist,32,30,43,63,22,50,26,39,23,,49,52,45,57
Tour,36,U. Humbert,Attacking Baseliner,full,,36,25,76,77,18,34,21,46,58,,53.4,31,58,55
Tour,36,A. Blockx,Solid Baseliner / Big Server + Baseliner,partial,,39,84,72,87,14,48,31,,4,,66.7,73,50,0
Tour,37,D. Shapovalov,Big Server / Big Server + Baseliner,full,high_risk_high_reward,79,79,76,68,42,29,43,56,90,,54.7,50,57,47
Tour,38,J. Munar,Solid Defender,full,,11,20,37,48,89,81,19,25,38,,42.9,48,38,30
Tour,39,Z. Bergs,Attacking Baseliner / Solid Baseliner,full,,29,43,64,54,17,33,24,42,18,,47.2,36,51,42
Tour,40,G. Diallo,Big Server + Baseliner,full,grass_specialist,78,35,53,71,13,33,25,42,14,,50.6,55,47,64
Tour,41,T. Machac,Attacking Baseliner,full,,20,30,74,69,62,51,31,75,31,,55.4,50,58,44
Tour,42,A. Michelsen,Solid Baseliner / Counter Puncher,full,,19,18,58,64,59,54,26,50,17,,51.1,31,53,56
Tour,44,M. Navone,Clay Specialist / Counter Puncher,full,,5,15,38,47,98,95,14,36,12,,42.4,55,27,20
Tour,45,A. Mannarino,Counter Puncher / Solid Defender,full,grass_specialist,14,16,48,50,70,64,22,44,70,,46.8,22,48,58
Tour,46,S. Korda,Big Server + Baseliner,full,,56,76,74,80,66,55,58,61,49,,59.9,54,61,64
Tour,47,M. Cilic,Big Server + Baseliner / Attacking Baseliner,full,,67,90,84,82,63,46,57,69,84,,62.9,60,63,70
Tour,47,G. Dimitrov,Attacking Baseliner,full,,30,82,77,76,70,52,46,70,174,,61.3,59,62,60
Tour,48,E. Quinn,Big Server,full,,24,20,28,32,10,39,16,,10,,35.9,50,26,50
Tour,49,F. Marozsan,Attacking Baseliner / Solid Baseliner,full,,23,25,64,63,48,47,29,41,24,,48.8,50,51,27
Tour,51,T. Atmane,All-Court Player,partial,,32,25,34,24,14,28,20,,1,,34.4,38,33,
Tour,52,N. Borges,Solid Baseliner / Solid Defender,full,,25,25,44,58,19,55,22,54,18,,46.8,49,48,33
Tour,53,H. Hurkacz,Big Server + Baseliner,full,,92,42,72,90,13,33,27,62,320,,60.1,57,61,63
Tour,54,B. Van De Zandschulp,Counter Puncher,full,high_risk_high_reward,21,28,44,45,74,60,27,57,111,,50,51,50,48
Tour,55,V. Kopriva,Counter Puncher / Solid Defender,partial,,6,12,22,9,79,69,3,,3,,38.5,46,31,0
Tour,56,R. A. Burruchaga,Counter Puncher / Solid Defender,partial,,11,22,39,58,79,78,22,,1,,46.4,55,33,0
Tour,57,M. Fucsovics,Counter Puncher,full,,14,26,55,56,87,78,27,41,42,,50.3,54,48,50
Tour,57,T. M. Etcheverry,Attacking Baseliner,full,,30,61,56,75,66,65,45,38,24,,46.9,51,46,29
Tour,58,G. Mpetshi Perricard,Big Server,full,,98,35,62,41,0,4,6,64,29,,49.4,47,52,42
Tour,59,K. Majchrzak,Counter Puncher,partial,,25,19,54,62,24,52,22,38,6,,47.1,40,52,45
Tour,59,Y. Hanfmann,Solid Baseliner / Attacking Baseliner,full,,22,24,56,61,22,55,23,37,15,,48.3,53,43,37
Tour,60,R. Opelka,Big Server,full,,96,26,68,62,0,7,8,53,57,,51,42,53,48
Tour,60,A. Popyrin,Big Server,full,,79,33,52,54,5,20,16,50,34,,44.8,50,45,29
Tour,61,C. Ugo Carabelli,Solid Defender / Counter Puncher,partial,,6,10,18,16,69,72,4,50,9,,39,47,33,0
Tour,62,I. Buse,Solid Baseliner / Solid Defender,partial,,18,28,46,74,67,72,29,,2,,56.4,59,50,50
Tour,63,J. Brooksby,Counter Puncher / Solid Defender,full,,9,21,58,68,92,88,25,75,30,,58.1,57,58,60
Tour,63,A. Cazaux,Big Server,full,,77,32,43,62,12,33,22,51,12,,44.3,47,44,40
Tour,64,D. Altmaier,Solid Defender / Solid Baseliner,full,,24,19,25,32,14,42,17,33,22,,37.4,42,34,33
Tour,65,S. Baez,Clay Specialist / Counter Puncher,full,,6,17,51,60,94,93,20,43,50,,50.4,63,36,27
Tour,66,L. Sonego,Attacking Baseliner,full,,35,31,61,75,10,38,21,52,44,,47.9,48,46,55
Tour,67,H. Medjedovic,Big Server,full,,84,25,61,64,8,16,15,64,10,,52,40,60,43
Tour,68,G. Monfils,Counter Puncher / Big Server + Baseliner,full,high_risk_high_reward,58,78,65,68,84,58,59,76,134,,61.9,58,64,56
Tour,69,T. A. Tirante,Solid Defender / Solid Baseliner,partial,,20,20,40,51,16,55,18,,3,,43.5,47,33,
Tour,70,M. Kecmanovic,Counter Puncher / Solid Defender,full,,16,26,62,68,72,71,30,39,48,,48.9,49,49,46
Tour,71,V. Royer,Solid Baseliner,partial,,37,24,69,80,11,30,17,,5,,43.5,0,45,50
Tour,72,J. M. Cerundolo,Attacking Baseliner,partial,,5,10,23,18,73,73,5,63,7,,43.1,47,37,0
Tour,75,S. Tsitsipas,Attacking Baseliner,full,pressure_player,82,83,74,91,51,50,56,82,200,,67,75,65,55
Tour,77,M. Giron,Counter Puncher,full,,25,25,46,62,22,55,23,40,30,,47.5,39,49,51
Tour,78,M. Trungelliti,Clay Specialist / Counter Puncher,partial,,7,10,25,11,72,69,5,,2,,40.5,48,20,0
Tour,79,F. Misolic,Solid Defender,partial,,14,14,23,31,19,59,11,85,5,,48.6,60,27,0
Tour,79,D. Prizmic,Counter Puncher / Solid Defender,partial,,9,16,31,33,79,76,13,,5,,36.4,44,31,
Tour,80,M. Bellucci,Big Server,full,,64,20,40,43,13,32,19,,10,,40.9,29,43,43
Tour,82,S. Ofner,All-Court Player,partial,,29,25,44,39,14,37,21,49,9,,43.1,45,39,47
Tour,83,J-L. Struff,Big Server,full,,77,36,59,59,14,28,24,36,47,,47,50,46,45
Tour,84,R. Collignon,Attacking Baseliner,partial,,33,17,33,28,13,23,17,,6,,42.3,20,50,0
Tour,84,D. Vallejo,Counter Puncher / Solid Defender,partial,,13,24,50,65,86,79,26,,0,,50,56,50,0
Tour,85,A. Shevchenko,Solid Defender,full,,15,15,28,25,22,54,13,56,20,,44.3,44,46,20
Tour,86,J. Duckworth,Big Server,full,,63,17,40,36,3,20,11,40,10,,37.4,25,39,36
Tour,86,D. Merida Aguilar,Solid Baseliner / Solid Defender,partial,,17,28,44,80,30,74,22,,0,,67.6,74,67,0
Tour,87,D. Dzumhur,Counter Puncher / Solid Defender,full,,5,13,43,37,94,85,13,48,12,,46,48,44,48
Tour,89,P. Kypson,Big Server / Solid Baseliner,partial,,82,38,65,82,7,33,24,,2,,40,44,36,50
Tour,90,Z. Svajda,Solid Defender,partial,,13,12,27,30,20,55,12,,3,,29.6,,31,0
Tour,91,P. Carreno-Busta,Counter Puncher / Solid Defender,full,,15,26,67,72,82,75,30,60,42,,54.8,55,56,30
Tour,91,Q. Halys,Big Server + Baseliner,full,,86,34,42,45,2,10,9,30,13,,35.8,40,32,47
Tour,94,R. Safiullin,Attacking Baseliner,full,,32,66,64,65,53,46,42,27,15,,43.5,38,44,47
Tour,94,M. Landaluce,Solid Baseliner / Attacking Baseliner,partial,,21,30,56,65,20,49,23,,3,,50,54,53,25
Tour,95,L. Djere,All-Court Player,full,,24,26,46,49,58,57,30,42,31,,48.6,58,40,31
Tour,95,A. Kovacevic,Big Server,full,,78,21,37,38,3,14,8,26,12,,36,20,40,29
Tour,96,R. Hijikata,Solid Defender,full,,11,8,31,18,19,43,10,55,12,,40.4,10,44,44
Tour,97,T. Schoolkate,Big Server,partial,,74,20,40,31,3,7,5,,3,,33.3,0,37,0
Tour,97,L. van Assche,Solid Defender,partial,,12,14,33,28,20,54,13,35,7,,35.9,38,36,25
Tour,98,R. Bautista-Agut,Counter Puncher / Solid Defender,full,,15,28,73,82,91,84,33,64,79,,59.8,56,60,67
Tour,98,C. Taberner,Counter Puncher,partial,,6,12,31,20,80,69,8,,2,,39.1,40,40,0
Tour,99,A. Vukic,Big Server,full,,71,20,45,51,7,23,15,46,14,,40.8,28,42,48
Tour,100,M. Berrettini,Big Server + Baseliner,full,grass_specialist,94,43,72,95,12,34,27,73,94,,64.3,73,56,78
Tour,101,B. Bonzi,Solid Baseliner,full,,28,20,55,66,18,47,21,39,11,,43.3,33,45,43
Tour,102,J. De Jong,Big Server,full,,60,27,47,45,17,39,25,,34,,45.2,55,41,20
Tour,103,A. Walton,Solid Baseliner,partial,,31,26,43,54,7,36,18,37,2,,33.3,40,32,33
Tour,104,C. Garin,Counter Puncher / Solid Defender,full,,13,23,46,50,81,76,23,57,27,,51.5,60,39,48
Tour,105,A. Muller,Solid Defender,full,,12,13,30,38,57,68,15,52,13,,43.3,49,41,29
Tour,106,M. Arnaldi,All-Court Player,full,,24,27,59,52,55,49,31,64,21,,50,54,50,17
Tour,107,B. Coric,Solid Baseliner / Attacking Baseliner,full,,30,31,62,72,23,57,27,59,52,,52.3,54,52,46
Tour,108,E. Nava,All-Court Player,partial,,26,16,15,10,1,13,6,,5,,28.1,25,30,0
Tour,109,T. Droguet,Solid Baseliner / Attacking Baseliner,partial,,61,57,75,83,21,42,36,,1,,68,62,82,0
Tour,113,J. Thompson,Solid Baseliner / Attacking Baseliner,full,,28,19,51,61,19,46,21,46,29,,46.7,32,48,52
Tour,114,F. Comesana,Big Server,partial,,66,28,41,43,13,33,21,29,9,,42.9,46,41,40
Tour,115,M. Damm,Big Server,partial,,32,24,37,25,4,20,13,,2,,38.1,38,33,50
Tour,116,Y. Nishioka,Solid Defender / Counter Puncher,full,,6,8,47,42,71,75,14,60,41,,45.9,38,49,24
Tour,116,D. Svrcina,Counter Puncher,partial,,3,15,38,38,96,84,12,,2,,45.5,57,38,0
Tour,117,N. Basilashvili,Counter Puncher / Solid Defender,full,high_risk_high_reward,9,15,39,19,59,54,13,52,32,,46.5,46,47,46
Tour,118,H. Gaston,Solid Defender,full,,2,9,24,21,64,76,5,71,12,,38.7,44,34,43
Tour,119,D. Goffin,Solid Defender,full,,18,29,58,58,90,71,30,57,75,,56.6,58,56,53
Tour,119,J. Faria,Big Server + Baseliner / Solid Baseliner,partial,,36,77,71,73,23,46,34,,3,,65.6,65,57,80
Tour,121,V. Gaubas,Solid Baseliner / Solid Defender,partial,,18,18,41,59,19,59,17,,2,,53.6,50,50,75
Tour,122,J. Choinski,Solid Baseliner,partial,,29,17,27,62,10,39,14,,3,,43.5,25,38,71
Tour,123,J. Fearnley,Solid Defender,partial,,23,21,32,26,24,51,19,,3,,41.9,58,33,40
Tour,124,N. Budkov Kjaer,Solid Baseliner / Solid Defender,partial,,16,25,48,66,29,65,22,,3,,45.8,46,50,67
Tour,125,S. Wawrinka,Solid Baseliner / Attacking Baseliner,full,,27,77,79,82,65,57,46,66,138,,60.4,63,61,50
Tour,127,O. Virtanen,Big Server,full,,61,24,36,26,10,20,13,46,11,,39.5,33,40,50
Tour,128,R. Carballes Baena,Counter Puncher / Solid Defender,full,,7,15,35,37,86,84,13,48,24,,44.1,49,39,22
Tour,129,M. McDonald,Counter Puncher / Solid Defender,full,,16,16,46,53,64,62,23,35,25,,44.7,28,47,50
Tour,130,S. Mochizuki,Solid Defender,partial,,6,5,13,4,17,42,1,,2,,20.6,0,21,20
Tour,132,D. Lajovic,Solid Defender / Counter Puncher,full,,15,17,44,52,64,72,22,37,42,,43.3,49,40,24
Tour,133,H. Dellien,Solid Defender,partial,,5,7,16,23,63,78,4,25,9,,34.9,40,24,0
Tour,133,N. Jarry,Big Server,full,,85,37,62,73,5,23,19,49,48,,49,56,39,50
Tour,134,T. Barrios Vera,Solid Defender,partial,,7,5,8,21,7,50,0,,4,,29,33,20,33
Tour,136,P. Martinez,Counter Puncher / Solid Defender,full,,6,11,27,22,83,79,7,40,30,,41.9,47,37,33
Tour,138,F. Fognini,Counter Puncher,full,high_risk_high_reward,6,16,38,30,84,73,13,66,47,,51.8,57,46,49
Tour,138,F. Passaro,Solid Defender / Attacking Baseliner,partial,,18,16,32,26,10,41,13,30,2,,35.5,42,25,
Tour,141,S. Travaglia,Solid Defender / Attacking Baseliner,partial,,24,20,34,23,23,43,20,24,1,,34.9,38,35,17
Tour,141,L. Klein,Solid Baseliner / Attacking Baseliner,partial,,35,34,61,68,8,37,21,26,3,,33.3,44,29,33
Tour,147,D. Koepfer,Counter Puncher / Solid Defender,full,,14,17,43,32,58,58,19,65,11,,44.9,46,46,33
Tour,147,S. Shimabukuro,Big Server / Solid Baseliner,partial,,79,40,72,77,15,38,30,,1,,55.6,67,56,33
Tour,148,B. Harris,Solid Baseliner / Attacking Baseliner,partial,grass_specialist,30,15,36,43,1,23,11,,3,,36.4,0,19,56
Tour,150,C. O'Connell,Solid Baseliner,full,,30,24,33,52,11,39,19,41,16,,39.7,36,42,31
Tour,150,C. Wong,Big Server,partial,,78,23,49,64,17,32,22,,3,,52.9,0,56,0
Tour,151,L. Nardi,Solid Defender,partial,,7,3,9,5,7,30,1,13,8,,30.9,20,37,20
Tour,152,Y. Bu,Big Server / Solid Baseliner,partial,,68,22,55,66,15,36,23,23,0,,39.7,0,48,0
Tour,153,F. Coria,Clay Specialist / Counter Puncher,full,,5,12,27,29,93,91,7,61,10,,41.8,51,23,0
Tour,154,P. Herbert,Big Server,full,,70,29,49,40,7,17,15,37,15,,43.9,40,45,47
Tour,154,G. Zeppieri,All-Court Player,partial,,24,20,36,37,9,37,17,,3,,25.9,29,22,0
Tour,154,N. Basavareddy,Solid Defender,full,,18,10,30,18,15,34,12,,20,,35.7,0,42,0
Tour,155,D. E. Galan,Solid Defender / Counter Puncher,full,,14,18,32,45,69,72,19,51,14,,41,41,39,55
Tour,155,A. Pellegrino,Solid Baseliner / Solid Defender,partial,,13,27,59,80,29,79,22,,2,,61.5,65,0,50
Tour,161,Y. Watanuki,Big Server,partial,,80,36,62,54,13,24,22,33,3,,45.7,43,44,60
Tour,165,R. Jodar,Solid Baseliner,full,,21,35,76,93,69,67,36,,10,,75.5,82,71,67
Tour,167,H. Mayot,All-Court Player,partial,,18,15,30,36,8,39,13,,2,,32,29,33,33
Tour,168,N. Mejia,Solid Defender,partial,,8,3,4,14,4,43,0,,4,,19,50,0,
Tour,169,A. Bolt,All-Court Player,partial,,23,19,33,27,9,31,16,14,3,,34,,37,27
Tour,169,C. H. Tseng,Solid Defender,partial,,7,7,18,13,12,44,4,16,3,,25.5,31,26,0
Tour,171,E. Ymer,Solid Defender,partial,,14,10,26,18,55,48,11,29,2,,36,31,41,0
Tour,172,T. Monteiro,Solid Baseliner / Attacking Baseliner,full,,29,24,46,54,9,42,19,44,13,,40.7,47,32,22
Tour,175,H. Grenier,All-Court Player,partial,,25,16,17,12,9,23,11,,3,,30.8,25,31,50
Tour,179,Y. Wu,Counter Puncher,partial,,14,11,39,41,17,48,14,66,6,,45.9,33,49,20
Tour,179,F. Diaz Acosta,Clay Specialist / Counter Puncher,partial,,9,18,42,40,82,77,17,27,4,,42.9,52,29,0
Tour,182,R. Gasquet,Solid Baseliner / Counter Puncher,full,,24,36,76,79,77,66,38,67,95,,59.5,58,59,64
Tour,182,C. Eubanks,Big Server,full,grass_specialist,88,22,52,45,0,9,6,43,17,,39.3,25,35,58
Tour,182,M. Zheng,Counter Puncher / Solid Baseliner,partial,,22,34,60,85,95,85,36,,4,,70,75,60,83
Tour,185,D. Evans,Counter Puncher,full,,15,17,56,55,75,63,24,47,32,,46.6,34,50,43
Tour,185,A. Fery,Solid Baseliner,partial,,19,23,77,95,84,74,32,,3,,68.2,33,75,73
Tour,194,B. Tomic,Big Server / Solid Baseliner,full,,68,19,43,59,12,32,19,59,31,,50,32,54,54
Tour,195,J. Kubler,Solid Defender,partial,,22,21,34,34,24,51,21,50,6,,45.2,50,40,54
Tour,195,J. Rodionov,All-Court Player,partial,,25,22,39,42,10,34,18,26,2,,40.8,40,43,38
Tour,197,C. Lestienne,Counter Puncher,partial,,8,6,17,8,64,53,3,48,3,,29,0,35,14
Tour,202,A. Molcan,Attacking Baseliner,full,,9,18,46,51,87,86,20,74,11,,53.1,63,43,43
Tour,203,M. Krueger,Solid Defender,partial,,17,15,34,28,16,45,15,,2,,30.6,33,32,20
Tour,220,L. Harris,Big Server,partial,,84,24,50,63,10,23,17,45,8,,47.9,24,53,45
Tour,228,M. Cecchinato,Clay Specialist / Solid Defender,full,,15,13,31,27,17,50,13,38,18,,38.6,47,22,18
Tour,235,K. Coppejans,Solid Defender,partial,,11,6,9,19,5,43,2,,1,,19,27,13,0
Tour,238,K. Nishikori,Counter Puncher,full,,14,28,71,74,81,77,31,78,72,,65.7,67,66,59
Tour,239,Z. Zhang,Big Server / Solid Baseliner,full,,69,29,51,62,7,34,21,39,26,,46.3,58,40,43
Tour,243,D. Stricker,Solid Baseliner,partial,,79,35,59,59,5,21,18,42,3,,44.6,38,46,50
Tour,244,H. Habib,Attacking Baseliner,partial,,36,19,53,28,1,7,6,,1,,47.8,36,64,
Tour,244,M. Huesler,Big Server,partial,,73,21,57,55,4,19,13,46,7,,36.9,31,42,25
Tour,247,T. Seyboth Wild,Solid Defender,full,,20,19,33,35,16,47,17,32,16,,41.1,47,30,50
Tour,252,S. Kwon,Counter Puncher / Attacking Baseliner,partial,,18,22,52,44,57,52,26,49,6,,47.5,43,50,42
Tour,255,J. P. Varillas,Clay Specialist / Solid Defender,partial,,11,20,44,51,72,78,21,45,9,,42.9,52,24,0
Tour,259,B. Hassan,Solid Baseliner / Counter Puncher,partial,,20,32,67,74,71,69,34,,1,,57.1,63,50,
Tour,269,A. Martin,Counter Puncher / Solid Defender,partial,,4,14,35,28,91,81,10,49,4,,44.4,52,36,21
Tour,275,S. Nagal,Solid Defender,partial,,5,5,17,14,52,64,3,,4,,28.3,30,28,0
Tour,281,M. Kukushkin,Counter Puncher / Solid Defender,full,,6,13,42,41,76,75,15,42,17,,42.2,36,45,37
Tour,285,M. Mmoh,All-Court Player,partial,,22,13,27,25,21,38,17,58,5,,42.3,30,45,25
Tour,293,B. Gojo,Big Server,partial,,90,27,61,69,8,16,15,37,1,,42.6,14,50,0
Tour,296,N. Gombos,Solid Defender,partial,,20,17,24,22,16,44,14,23,3,,32.6,42,30,0
Tour,306,Y. Uchiyama,Big Server,partial,,66,19,50,51,4,22,14,18,3,,31.7,0,36,0
Tour,330,T. Daniel,Solid Defender,full,,11,10,23,21,25,63,8,34,12,,36.7,40,37,0
Tour,334,A. Vavassori,All-Court Player,partial,,23,16,24,21,7,26,13,,6,,44,47,50,0
Tour,340,D. Schwartzman,Solid Defender,full,,4,16,46,51,99,89,16,51,49,,52.5,56,51,38
Tour,406,J. Shang,Solid Baseliner / Attacking Baseliner,full,,21,16,56,57,22,49,19,45,11,,46.8,17,49,60
Tour,430,R. Albot,Solid Defender / Counter Puncher,full,,6,12,32,26,71,73,10,31,18,,41.8,42,43,33
Tour,431,F. Bagnis,Solid Defender,partial,,14,13,24,21,20,52,11,26,5,,33.6,38,26,0
Tour,446,M. Marterer,All-Court Player,partial,,23,17,36,31,3,30,12,19,7,,34.4,37,33,29
Tour,454,T. Kokkinakis,Big Server,full,,85,24,46,59,5,20,13,61,28,,44.4,36,46,38
Tour,454,P. Kotov,Solid Defender,partial,,17,15,26,35,17,54,14,54,7,,43.9,52,38,50
Tour,515,J. Kovalik,Solid Defender,partial,,8,9,28,22,23,59,8,35,5,,34.1,38,32,0
Tour,617,M. Ymer,Solid Defender,full,,6,9,34,35,93,81,10,34,14,,46.5,39,49,46
Tour,639,H. Chung,Counter Puncher,full,,14,25,55,59,91,80,27,47,12,,55.4,55,56,33
Tour,664,A. Dougaz,Counter Puncher / Solid Defender,partial,,12,12,19,9,61,58,6,,0,,28.6,50,25,
Tour,670,N. Kyrgios,Big Server,full,pressure_player,97,41,76,79,5,11,17,83,118,,63.2,57,64,65
Tour,697,B. Balleret,Counter Puncher / Solid Defender,partial,,6,10,21,17,76,74,5,,1,,50,56,42,
Tour,1067,G. Brouwer,Solid Baseliner,full,,33,32,46,74,15,50,23,,16,,48.1,56,50,38
Challenger,,Andy Murray,Solid Baseliner / Attacking Baseliner,challenger,,72,93,94,99,78,66,71,,,32,81.3,75,70,93
Challenger,,Igor Ribeiro Marcondes,Counter Puncher / Solid Baseliner,challenger,,27,40,80,92,95,84,43,,,20,80,83,50,
Challenger,,Steve Johnson,Big Server / Solid Baseliner,challenger,,87,29,82,86,12,24,21,,,79,70.9,56,74,0
Challenger,,John Millman,Solid Baseliner / Counter Puncher,challenger,,27,41,82,96,94,82,44,,,40,70,78,71,33
Challenger,,Pablo Andujar,Counter Puncher,challenger,,9,24,64,66,99,87,26,,,91,69.2,72,50,
Challenger,,Philipp Kohlschreiber,Solid Baseliner / Counter Puncher,challenger,,22,26,86,91,91,74,35,,,25,68,60,100,
Challenger,,Ivo Karlovic,Big Server,challenger,,98,28,75,72,0,3,8,,,31,67.7,0,72,60
Challenger,,Jerome Kym,Big Server / Solid Baseliner,challenger,,92,90,75,92,25,53,46,,,76,67.1,73,58,
Challenger,,Inaki Montes De La Torre,Counter Puncher,challenger,,12,25,64,63,97,82,27,,,51,66.7,71,66,
Challenger,,Vasek Pospisil,Big Server,challenger,,89,30,74,78,14,21,21,,,137,66.4,40,67,50
Challenger,,Elmer Moller,Counter Puncher,challenger,,13,24,44,56,99,79,23,,,77,66.2,68,60,
Challenger,,Marcel Granollers,Solid Baseliner / Attacking Baseliner,challenger,,67,61,92,96,76,60,61,,,68,66.2,38,71,64
Challenger,,Karue Sell,Counter Puncher / Solid Baseliner,challenger,,24,38,79,91,93,81,41,,,53,66,70,62,
Challenger,,J J Wolf,Big Server / Attacking Baseliner,challenger,,85,61,82,79,60,40,52,,,143,65.7,56,67,
Challenger,,Emil Ruusuvuori,Attacking Baseliner / Solid Baseliner,challenger,,28,27,84,78,78,55,35,,,98,65.3,42,74,0
Challenger,,Leandro Riedi,Solid Baseliner / Attacking Baseliner,challenger,,38,27,77,81,21,40,24,,,97,64.9,56,69,56
Challenger,,Ilya Ivashka,All-Court Player,challenger,,69,62,82,81,73,47,57,,,77,64.9,33,69,57
Challenger,,Pablo Cuevas,Counter Puncher / Attacking Baseliner,challenger,,23,36,82,76,92,71,38,,,62,64.5,64,67,
Challenger,,Guillermo Olaso,Counter Puncher,challenger,,16,21,72,76,89,71,29,,,28,64.3,40,70,
Challenger,,Bu Yunchaokete,Solid Baseliner / Attacking Baseliner,challenger,,71,78,79,89,64,59,63,,,114,64,67,65,44
Challenger,,Lucas Pouille,Big Server + Baseliner / Big Server,challenger,,82,84,82,81,22,42,41,,,89,64,68,65,0
Challenger,,Marcos Baghdatis,All-Court Player,challenger,,83,86,83,82,65,50,62,,,22,63.6,,64,
Challenger,,Ricardas Berankis,Solid Baseliner / Attacking Baseliner,challenger,,31,36,72,80,63,62,39,,,166,63.3,75,63,
Challenger,,Andreas Seppi,Solid Baseliner / Big Server,challenger,,72,25,71,76,23,43,29,,,49,63.3,33,69,57
Challenger,,Filip Krajinovic,Solid Defender / Counter Puncher,challenger,,15,26,58,78,85,87,30,,,30,63.3,71,44,
Challenger,,Juan Ignacio Londero,Clay Specialist / Counter Puncher,challenger,,19,33,74,80,90,84,36,,,125,63.2,64,0,
Challenger,,Kevin Krawietz,Solid Baseliner,challenger,,31,33,60,73,56,58,37,,,68,63.2,66,57,
