pool,rank,player,label,ue_chart,ue_api,wr_chart,wr_api,n_chart,n_api,ratio_chart,ratio_api,ce_chart,ce_api,wv_chart,wv_api,band_chart,band_api
Challenger,285,Dar. Blanch,,16.56,24.19,14.11,17.09,1.0,49,0.852,0.707,False,False,False,True,defensive,defensive
Challenger,288,D. Ajdukovic,Attacking Baseliner,19.65,20.98,17.34,15.51,1.0,51,0.882,0.739,False,False,True,False,defensive,defensive
Challenger,288,J. K. Trotter,Big Server,27.03,21.58,13.51,17.18,1.0,32,0.5,0.796,False,False,False,True,defensive,defensive
Challenger,289,S. Purtseladze,Big Server,,27.72,,14.21,,16,,0.512,False,False,False,False,n/a,defensive
Challenger,289,T. Gentzsch,,,20.5,,15.52,,39,,0.757,False,False,False,False,n/a,defensive
Challenger,294,T. Zink,,,18.9,,16.3,,34,,0.862,False,False,False,True,n/a,defensive
Challenger,296,F. Mena,All-Court Player,37.17,21.98,9.73,17.92,1.0,37,0.262,0.815,False,False,False,True,defensive,defensive
Challenger,299,S. Kopp,,,19.02,,14.52,,28,,0.763,False,False,False,False,n/a,defensive
Challenger,300,M. Soto,,,25.45,,13.18,,19,,0.518,False,False,False,False,n/a,defensive
Challenger,302,R. Bertrand,,18.75,24.17,5.21,10.42,1.0,30,0.278,0.431,False,False,False,False,defensive,defensive
Challenger,304,H. Barton,,,20.44,,18.1,,45,,0.885,False,False,False,True,n/a,defensive
Challenger,304,T. Pereira,,,24.23,,12.38,,30,,0.511,False,False,False,False,n/a,defensive
Challenger,309,D. Rincon,,24.75,20.5,11.88,13.11,1.0,38,0.48,0.639,False,False,False,False,defensive,defensive
Challenger,310,M. Krumich,,,20.59,,13.5,,55,,0.656,False,False,False,False,n/a,defensive
Challenger,312,H. Wendelken,,15.04,20.29,12.14,11.03,2.0,38,0.807,0.544,False,False,False,False,defensive,defensive
Challenger,315,C. Broom,,15.71,16.9,9.95,14.61,1.0,31,0.633,0.864,False,False,False,False,defensive,defensive
Challenger,316,C. Sanchez Jover,,,18.89,,13.28,,39,,0.703,False,False,False,False,n/a,defensive
Challenger,316,C. Hemery,All-Court Player,,20.3,,15.84,,51,,0.78,False,False,False,True,n/a,defensive
Challenger,317,M. A. Dellien Velasco,,,23.46,,10.64,,38,,0.453,False,False,False,False,n/a,defensive
Challenger,319,M. Martineau,Big Server | Attacking Baseliner | All-Court Player,23.4,17.97,20.74,15.02,1.0,47,0.886,0.836,False,False,True,False,defensive,defensive
Challenger,322,M. Damas,,,23.36,,13.8,,39,,0.591,False,False,False,False,n/a,defensive
Challenger,327,O. Jasika,,16.32,19.63,9.47,9.88,1.0,30,0.58,0.504,False,False,False,False,defensive,defensive
Challenger,328,M. Erhard,,,20.53,,13.18,,33,,0.642,False,False,False,False,n/a,defensive
Challenger,330,G. Hussey,,,19.93,,13.68,,41,,0.686,False,False,False,False,n/a,defensive
Challenger,330,A. Ramos,,18.41,16.12,12.22,10.81,25.0,24,0.664,0.671,False,False,False,False,defensive,defensive
Challenger,335,O. Tarvet,Solid Baseliner,6.94,13.85,9.83,14.09,1.0,15,1.416,1.018,False,True,False,False,attacking,even
Challenger,340,S. Fomin,,21.47,22.69,11.54,14.59,2.0,33,0.537,0.643,False,False,False,False,defensive,defensive
Challenger,340,H. Stewart,Big Server,,21.08,,16.45,,26,,0.78,False,False,False,True,n/a,defensive
Challenger,345,L. Castelnuovo,Big Server | All-Court Player,,22.36,,14.93,,12,,0.668,False,False,False,False,n/a,defensive
Challenger,346,M. Poljicak,Solid Baseliner,19.63,20,15.26,15.88,2.0,32,0.777,0.794,False,False,False,True,defensive,defensive
Challenger,348,D. Dedura,,,21.81,,12.06,,42,,0.553,False,False,False,False,n/a,defensive
Challenger,353,Y. Shimizu,,,23.99,,14.59,,36,,0.608,False,False,False,False,n/a,defensive
Challenger,353,H. Searle,All-Court Player,21.72,20.7,11.89,16.42,1.0,26,0.547,0.793,False,False,False,True,defensive,defensive
Challenger,354,K. Feldbausch,Attacking Baseliner,14.29,19.74,16.96,12.13,1.0,28,1.187,0.614,False,False,True,False,attacking,defensive
Challenger,355,A. Ghibaudo,,,19.38,,13.58,,37,,0.7,False,False,False,False,n/a,defensive
Challenger,357,P. Sekulic,,,22.19,,14.58,,26,,0.657,False,False,False,False,n/a,defensive
Challenger,359,A. Soriano Barrera,Big Server,,20.52,,14.59,,20,,0.711,False,False,False,False,n/a,defensive
Challenger,362,G. Blancaneaux,,,17.97,,14.72,,38,,0.819,False,False,False,False,n/a,defensive
Challenger,365,D. Masur,Attacking Baseliner,8.51,20.34,27.66,18.03,1.0,29,3.25,0.886,False,False,True,True,attacking,defensive
Challenger,371,F. Gill,,,18.14,,13.64,,31,,0.752,False,False,False,False,n/a,defensive
Challenger,375,T. Faurel,,,16.53,,11.76,,27,,0.712,False,False,False,False,n/a,defensive
Challenger,380,J. Cui,,,18.24,,11.89,,24,,0.652,False,False,False,False,n/a,defensive
Challenger,384,R. Brancaccio,Attacking Baseliner,12.84,20.31,22.02,15.76,1.0,44,1.715,0.776,False,False,True,True,attacking,defensive
Challenger,385,D. Dutra Da Silva,,21.94,24.07,12.7,12.11,3.0,33,0.579,0.503,False,False,False,False,defensive,defensive
Challenger,387,M. Alcala Gurri,,,17.09,,10.99,,26,,0.643,False,False,False,False,n/a,defensive
Challenger,394,D. Jorda Sanchis,All-Court Player,,22.34,,14.92,,53,,0.668,False,False,False,False,n/a,defensive
Challenger,399,K. Sultanov,,,21.44,,13.97,,13,,0.651,False,False,False,False,n/a,defensive
Challenger,402,P. Zahraj,,,25.82,,14.57,,30,,0.564,False,False,False,False,n/a,defensive
Challenger,408,M. Alkaya,Big Server,,17.03,,13.47,,20,,0.791,False,False,False,False,n/a,defensive
Challenger,409,M. Kasnikowski,Solid Baseliner,17.92,16.7,13.21,13.84,1.0,51,0.737,0.829,False,False,False,False,defensive,defensive
Challenger,412,F. Arnaboldi,,22.73,21.08,16.36,13.54,1.0,43,0.72,0.642,False,False,True,False,defensive,defensive
Challenger,435,O. Prihodko,,,23.87,,15.23,,31,,0.638,False,False,False,False,n/a,defensive
Challenger,442,M. Wiskandt,,,21.92,,13.68,,32,,0.624,False,False,False,False,n/a,defensive
Challenger,448,S. Napolitano,Attacking Baseliner,13.0,16.96,20.0,12.95,1.0,49,1.538,0.764,False,False,True,False,attacking,defensive
Challenger,449,Y. Erel,,,21.75,,13.07,,8,,0.601,False,False,False,False,n/a,defensive
Challenger,469,I. Marcondes,All-Court Player,,22.12,,20.27,,21,,0.916,False,False,False,True,n/a,even
Challenger,472,M. Schoenhaus,Solid Baseliner,32.14,24.47,15.48,19.26,1.0,17,0.482,0.787,False,False,False,True,defensive,defensive
Challenger,485,A. Sanchez Quilez,,,21.06,,13.4,,27,,0.636,False,False,False,False,n/a,defensive
Challenger,489,E. Vasa,,,24.95,,16.25,,28,,0.651,False,False,False,True,n/a,defensive
Challenger,496,A. Ritschard,,20.37,21,14.81,15.44,1.0,28,0.727,0.735,False,False,False,False,defensive,defensive
Challenger,501,N. Arseneault,,15.23,21.92,9.93,11.44,1.0,9,0.652,0.522,False,False,False,False,defensive,defensive
Challenger,504,T. Colson,Big Server,,20.88,,16.78,,23,,0.803,False,False,False,True,n/a,defensive
Challenger,507,S. Palosi,,,24.32,,14.87,,26,,0.612,False,False,False,False,n/a,defensive
Challenger,510,H. Bernet,,,22.89,,14.5,,17,,0.633,False,False,False,False,n/a,defensive
Challenger,521,D. Suresh,Big Server | Attacking Baseliner,14.87,21.54,21.93,18.92,2.0,14,1.475,0.879,False,False,True,True,attacking,defensive
Challenger,533,L. Borg,,21.21,15.9,15.15,10.12,3.0,6,0.714,0.636,False,False,False,False,defensive,defensive
Challenger,534,T. Torres,,,20.45,,13.54,,12,,0.662,False,False,False,False,n/a,defensive
Challenger,548,M. Alves,,14.06,25.21,13.75,14.01,2.0,14,0.978,0.556,False,False,False,False,even,defensive
Challenger,549,E. Kirkin,,23.13,19.36,14.93,14.81,1.0,18,0.645,0.765,False,False,False,False,defensive,defensive
Challenger,558,M. H. Rehberg,Attacking Baseliner,12.74,17.76,16.51,14.4,2.0,29,1.296,0.81,False,False,True,False,attacking,defensive
Challenger,623,M. Rottgering,,17.84,24.24,9.19,13.67,2.0,9,0.515,0.564,False,False,False,False,defensive,defensive
Challenger,653,C. Hewitt,,,24.54,,13.16,,10,,0.536,False,False,False,False,n/a,defensive
Challenger,676,I. Radulov,,,23.03,,14.2,,2,,0.616,False,False,False,False,n/a,defensive
Challenger,696,N. Moreno De Alboran,,19.76,14.07,16.21,13.87,1.0,44,0.82,0.985,False,True,True,False,defensive,even
Challenger,728,M. Guinard,,,21.67,,17.37,,12,,0.802,False,False,False,True,n/a,defensive
Challenger,772,F. Rocha,All-Court Player,,25.08,,11.88,,8,,0.474,False,False,False,False,n/a,defensive
Challenger,781,J. Domingues,,,16.8,,8.01,,4,,0.477,False,False,False,False,n/a,defensive
Challenger,833,M. Kouame,Solid Baseliner,20.39,19.6,12.5,14.66,2.0,22,0.613,0.748,False,False,False,False,defensive,defensive
Challenger,836,R. Te,,,28.32,,14.71,,8,,0.519,False,False,False,False,n/a,defensive
Challenger,865,A. Wang,Big Server,,20.91,,13.51,,7,,0.646,False,False,False,False,n/a,defensive
Challenger,892,O. Luz,,,21.75,,21.75,,3,,1,False,False,False,True,n/a,even
Challenger,895,A. Vales,,,25.53,,10.59,,12,,0.415,False,False,False,False,n/a,defensive
Challenger,921,A. Rai,,,24.88,,12.68,,2,,0.509,False,False,False,False,n/a,defensive
Challenger,1020,A. Andreev,,16.91,18.99,13.69,12.71,6.0,9,0.81,0.669,False,False,False,False,defensive,defensive
Challenger,1046,R. Seggerman,Big Server,26.5,22.49,21.37,20.05,1.0,19,0.806,0.891,False,False,True,True,defensive,defensive
Challenger,1075,N. McDonald,,16.07,23.23,10.12,13.16,1.0,11,0.63,0.566,False,False,False,False,defensive,defensive
Challenger,1210,D. Cukierman,All-Court Player,,27.82,,14.26,,8,,0.513,False,False,False,False,n/a,defensive
Challenger,1380,A. Hernandez,,,19.36,,8.5,,21,,0.439,False,False,False,False,n/a,defensive
Tour,1,C. Alcaraz,All-Court Player,17.64,15.58,19.71,17.84,221.0,142,1.117,1.145,False,True,True,True,attacking,attacking
Tour,2,J. Sinner,All-Court Player,16.88,12.85,17.06,17.47,297.0,162,1.011,1.359,False,True,True,True,even,attacking
Tour,3,A. Zverev,Solid Baseliner | All-Court Player,16.99,13.83,18.37,17.09,195.0,176,1.081,1.236,False,True,True,True,even,attacking
Tour,4,N. Djokovic,Counter Puncher,15.64,13.34,15.89,16.1,550.0,92,1.016,1.207,True,True,True,True,even,attacking
Tour,5,F. Auger-Aliassime,Big Server | All-Court Player,19.53,16.2,19.13,17.52,102.0,126,0.98,1.081,False,False,True,True,even,even
Tour,6,A. De Minaur,Counter Puncher,16.85,15.42,13.65,12.7,139.0,144,0.81,0.824,False,True,False,False,defensive,defensive
Tour,7,L. Musetti,,15.95,12.62,15.3,13.98,124.0,126,0.959,1.108,True,True,False,False,even,attacking
Tour,9,T. Fritz,Big Server | Attacking Baseliner,15.99,12.84,19.28,18.13,128.0,143,1.206,1.412,True,True,True,True,attacking,attacking
Tour,9,B. Shelton,,19.83,15.68,18.6,17.87,44.0,138,0.938,1.14,False,True,True,True,even,attacking
Tour,10,J. Draper,Attacking Baseliner,14.46,13.8,18.35,17.17,29.0,82,1.269,1.245,True,True,True,True,attacking,attacking
Tour,11,A. Bublik,Big Server | Attacking Baseliner,20.43,15.58,22.42,18.88,99.0,115,1.097,1.212,False,True,True,True,even,attacking
Tour,12,C. Ruud,Solid Baseliner,15.41,13.65,17.52,15.69,170.0,120,1.137,1.149,True,True,True,False,attacking,attacking
Tour,13,D. Medvedev,Solid Baseliner,15.84,14.89,17.41,14.65,284.0,134,1.099,0.984,True,True,True,False,even,even
Tour,14,A. Davidovich Fokina,Counter Puncher,21.3,16.26,16.16,15.04,56.0,105,0.759,0.925,False,False,True,False,defensive,even
Tour,15,H. Rune,Attacking Baseliner,18.53,14.8,18.76,16.73,66.0,88,1.012,1.13,False,True,True,True,even,attacking
Tour,16,A. Rublev,Attacking Baseliner,15.34,14.65,20.16,16.53,176.0,126,1.314,1.128,True,True,True,True,attacking,attacking
Tour,17,K. Khachanov,Solid Baseliner,17.27,14.82,17.17,15.03,79.0,123,0.994,1.014,False,True,True,False,even,even
Tour,18,J. Mensik,Big Server | Solid Baseliner | All-Court Player,19.44,17.6,18.76,17.84,30.0,115,0.965,1.014,False,False,True,True,even,even
Tour,19,J. Lehecka,Attacking Baseliner | All-Court Player,20.01,16.96,21.82,17.06,61.0,104,1.09,1.006,False,False,True,True,even,even
Tour,20,T. Paul,All-Court Player,17.98,15.88,17.62,16.09,77.0,120,0.98,1.013,False,True,True,True,even,even
Tour,21,F. Cerundolo,,22.35,18.17,17.3,15.43,42.0,131,0.774,0.849,False,False,True,False,defensive,defensive
Tour,21,A. Fils,Attacking Baseliner,21.31,18.29,21.66,16.5,70.0,97,1.016,0.902,False,False,True,True,even,even
Tour,22,F. Cobolli,,19.74,16.81,15.21,15.76,24.0,135,0.771,0.938,False,False,False,True,defensive,even
Tour,25,T. Griekspoor,,17.42,15.81,18.03,17.44,116.0,111,1.035,1.103,False,True,True,True,even,attacking
Tour,25,L. Darderi,Solid Baseliner,15.63,14.43,17.42,14.14,12.0,113,1.115,0.98,True,True,True,False,attacking,even
Tour,26,L. Tien,,18.87,16.8,15.75,14.02,23.0,98,0.835,0.835,False,False,False,False,defensive,defensive
Tour,27,A. Rinderknech,Big Server | Attacking Baseliner | All-Court Player,18.1,15.84,20.4,18.3,22.0,115,1.127,1.156,False,True,True,True,attacking,attacking
Tour,28,C. Norrie,,17.85,15.15,15.31,13.77,48.0,103,0.858,0.909,False,True,False,False,defensive,even
Tour,29,J. Fonseca,Attacking Baseliner,18.4,15.9,21.19,16.1,53.0,73,1.152,1.012,False,True,True,True,attacking,even
Tour,30,F. Tiafoe,Solid Baseliner,17.47,13.62,16.68,15.94,56.0,114,0.955,1.17,False,True,True,True,even,attacking
Tour,31,V. Vacherot,,16.54,14.53,15.39,14.75,10.0,57,0.93,1.016,False,True,False,False,even,even
Tour,33,B. Nakashima,Attacking Baseliner,15.36,12.65,18.31,15.53,40.0,126,1.192,1.228,True,True,True,False,attacking,attacking
Tour,35,C. Moutet,Counter Puncher,17.09,14.52,14.65,14.66,22.0,105,0.857,1.01,False,True,False,False,defensive,even
Tour,35,A. Tabilo,Solid Baseliner,17.51,14.59,16.98,15.37,23.0,113,0.97,1.054,False,True,True,False,even,even
Tour,36,U. Humbert,Attacking Baseliner,18.68,16.67,21.5,16.12,58.0,107,1.151,0.967,False,False,True,True,attacking,even
Tour,37,D. Shapovalov,Attacking Baseliner,21.29,19.04,21.7,17,89.0,88,1.019,0.893,False,False,True,True,even,defensive
Tour,38,J. Munar,Counter Puncher,14.4,12.79,13.52,13.08,38.0,94,0.939,1.023,True,True,False,False,even,even
Tour,39,Z. Bergs,Solid Baseliner,18.71,18.14,18.88,16.15,18.0,112,1.009,0.89,False,False,True,True,even,defensive
